30 25 27 61 73 42 89 65 20 77 29 64 11 79 76 95 92 70 33 95 72 57 66 82 80 37 94 88 84 23 21 39 21 36 6 96 24 21 22 10 67 99 27 44 45 27 0 97 45 78 69 31 54 66 49 96 73 32 6 70 26 44 82 67 87 45 29 39 42 90 44 17 49 1 60 85 45 30 38 45 30 10 66 57 40 82 21 24 54 43 72 85 72 6 97 20 32 65 45
44 51 63 64 56 12 29 56 18 14 58 1 13 20 71 28 0 13 38 95 8 45 6 82 98 20 69 60 72 93 95 55 0 7 72 54 32 27 30 3 60 25 66 51 52 35 55 32 88 32 79 77 87 95 37 46 24 34 65 52 68 20 97 71 27 86 64 13 36 25 72 55 20 99 4 64 58 3 87 99 91 71 23 17 74 25 57 75 31 73 84 32 85 11 28 27 73 72 74
85 3 63 52 17 32 18 4 51 17 68 75 88 99 87 44 48 26 72 94 67 51 9 92 54 3 1 77 6 36 49 47 45 92 18 62 2 42 23 56 30 48 72 2 24 82 48 76 74 17 49 89 58 9 59 9 27 42 17 16 66 96 60 87 89 57 85 55 46 6 17 70 52 2 30 41 26 29 73 23 83 79 50 11 64 47 70 91 91 7 35 17 74 90 10 29 86 79 20
68 59 66 74 90 64 1 51 62 40 1 56 96 88 85 39 86 27 25 17 25 91 28 4 52 71 69 66 30 33 70 27 83 30 22 9 59 89 90 44 46 95 12 16 59 51 9 73 67 91 57 65 13 52 62 85 50 26 91 85 35 56 61 25 65 49 18 88 35 46 50 85 91 10 18 65 38 3 98 61 22 26 63 22 40 96 75 86 14 73 94 91 93 39 64 12 62 31 22
38 86 75 89 2 21 40 79 47 57 94 95 45 89 85 82 17 59 97 81 74 93 41 67 86 11 20 82 78 9 59 11 36 48 61 86 69 39 81 22 73 75 18 49 55 43 77 51 42 81 38 70 13 53 53 11 70 71 64 25 82 10 63 78 25 20 83 1 48 43 89 47 84 44 51 63 97 13 39 5 3 70 51 21 15 33 21 66 81 89 59 31 18 11 52 79 19 96 6
2 15 85 17 59 80 13 24 36 25 4 45 53 6 42 13 1 40 36 87 61 7 17 55 98 0 72 12 69 18 87 90 44 63 23 58 74 64 19 8 56 37 25 69 9 6 71 60 37 23 11 81 55 35 32 43 79 47 81 69 15 84 57 51 7 48 3 43 83 6 70 16 52 65 27 10 54 34 8 74 3 58 80 43 92 90 34 58 1 48 48 97 47 80 70 0 32 97 54
64 73 31 64 93 25 98 5 17 17 30 8 21 90 40 92 40 24 29 8 31 23 6 45 75 64 3 94 45 20 27 98 9 80 51 28 39 59 63 67 39 78 87 29 64 86 14 35 86 34 10 55 32 5 68 11 29 40 14 9 42 61 7 8 81 63 1 94 76 90 14 1 82 98 59 79 5 63 16 64 53 95 49 20 24 59 72 87 78 20 65 10 36 10 61 59 83 82 30
65 19 71 35 70 84 15 75 49 5 94 3 17 31 69 42 95 58 47 68 38 71 15 91 17 16 25 57 49 66 88 88 50 28 88 14 59 85 80 97 37 93 0 36 26 81 26 24 34 55 96 84 31 26 48 24 65 53 50 89 76 54 89 29 13 26 82 92 97 18 51 17 29 39 99 68 21 1 16 53 24 88 6 19 66 3 26 88 24 37 40 52 56 4 38 57 63 66 37
88 37 92 9 4 43 4 57 98 38 44 80 34 5 4 98 89 47 77 38 13 92 80 76 7 89 71 2 95 16 91 74 82 53 39 37 73 38 59 43 7 1 78 49 74 90 50 72 8 55 86 33 47 61 77 85 82 2 78 87 69 22 89 25 65 43 92 21 70 65 32 25 85 26 7 77 34 91 63 13 10 76 58 26 60 76 69 15 25 74 75 80 31 32 17 95 89 16 81
31 17 38 82 41 81 53 76 28 45 44 18 7 3 10 92 76 54 46 48 31 19 90 23 30 40 86 42 56 9 78 6 68 33 99 8 71 60 45 69 43 23 13 96 87 44 25 52 92 65 99 75 11 49 94 29 14 72 8 71 76 60 46 77 84 64 85 30 97 16 22 14 4 93 48 11 18 5 32 49 76 51 60 17 16 32 76 72 4 8 38 2 7 0 84 91 73 81 70
